idx,domain,problem,solution,prediction,is_correct,reason
0,Linear Algebra,"Se consideră matricele \(I_{2}=\left(\begin{array}{ll}1 & 0 \\ 0 & 1\end{array}\right), C=\left(\begin{array}{rr}1 & 0 \\ 0 & -1\end{array}\right)\) și \(G=\left\{A \in M_{2}(\mathbf{R}) \mid A \cdot A^{T}=I_{2}\right\}\), unde prin \(A^{T}\) am notat transpusa matricei \(A\). Să se dea exemplu de subgrup al lui \(G\) care are 2007 elemente.","Fie \(D=\left(\begin{array}{ll}\cos \\frac{2 \\pi}{2007} & -\sin \\frac{2 \\pi}{2007} \\ \sin \\frac{2 \\pi}{2007} & \cos \\frac{2 \\pi}{2007}\end{array}\right)\). Construim subgrupul H al lui G.\n\n\(\\mathrm{H}=\left\{D^{n} \\mid n \\in \\mathbf{N}\right\}=\left\{D^{n} \\mid n=\\overline{0,2006}\right\}\)","Fie \(D=\left(\begin{array}{ll}\cos \\frac{2 \\pi}{2007} & -\sin \\frac{2 \\pi}{2007} \\ \sin \\frac{2 \\pi}{2007} & \cos \\frac{2 \\pi}{2007}\end{array}\right)\). Construim subgrupul H al lui G.\n\n\(\\mathrm{H}=\left\{D^{n} \\mid n \\in \\mathbf{N}\right\}=\left\{D^{n} \\mid n=\\overline{0,2006}\right\}\)",1,Correct
1,Abstract Algebra,"Se consideră funcția \(f: \mathbf{R} \rightarrow \mathbf{R}, f(x)=\\frac{x}{x^{2}+1}\). Să se verifice că \(f(-x)=-f(x), \\forall x \\in \\mathbf{R}\).","\(\\mathrm{f}(-\\mathrm{x})=\\frac{-x}{(-x)^{2}+1}=-\\frac{x}{x^{2}+1}=-f(x), \\forall \\mathrm{x} \\in \\mathbf{R}\)","\(f\left(\frac{1}{x}\right)=\frac{1}{x}+x=f(x), \forall \mathrm{x}>0\)",0,Other
2,Calculus,Să se determine mulțimea \(\left\{x \in \mathbf{R} \mid x^{2}+1>0\right\}\).,\(x^{2}+1>0 \Leftrightarrow x \in \mathbf{R}\),"\(f^{\prime}(x)=3(x-1)^{2} \geq 0, \forall x \in \mathbf{R}\).",0,Other
3,Linear Algebra,În mulțimea \(M_{2}(\mathbf{R})\) se consideră matricele \(A=\left(\begin{array}{ll}1 & 1 \\ 2 & 2\end{array}\right)\) si \(I_{2}=\left(\begin{array}{ll}1 & 0 \\ 0 & 1\end{array}\right)\). Să se demonstreze că matricea \(A+A^{2}+\ldots+A^{2004}-A^{2005}\) are toate elementele strict negative.,"\(\\operatorname{Din} \\mathbf{d}), A+A^{2}+\\ldots+A^{2004}-A^{2005}=A+3 A+3^{2} A+\\ldots+3^{2003} A-3^{2004} A=\)\n\n\(=A\left(1+3+3^{2}+\\ldots+3^{2003}-3^{2004}\right)=A\left(\\frac{3^{2004}-1}{3-1}-3^{2004}\right)=-\left(\\frac{1+3^{2004}}{2}\right) A\).\n\nDeci matricea \(A+A^{2}+\\ldots+A^{2004}-A^{2005}\) are toate elementele strict negative.","\(\\operatorname{Din} \\mathbf{d}), A+A^{-2}+\\ldots+A^{-2004}-A^{-2005}=A+-3 A+-3^{-2} A+\\ldots+-3^{-2003} A--3^{-2004} A=\)\n\n\(=A\left(-0+-3+-3^{-2}+\\ldots+-3^{-2003}--3^{-2004}\right)=A\left(\\frac{-3^{-2004}--0}{-3--0}--3^{-2004}\right)=-\left(\\frac{-0+-3^{-2004}}{-2}\right) A\).\n\nDeci matricea \(A+A^{-2}+\\ldots+A^{-2004}-A^{-2005}\) are toate elementele strict negative.",0,Manipulate
4,Geometry,"În sistemul cartezian \(x O y\) se consideră punctele \(A(4,0), B(4,-3)\) și \(C(0,-3)\). Să se dea un exemplu de dreaptă paralelă cu dreapta \(A B\).","\(A B\) este dreapta verticală \(x=4\), deci orice altă dreaptă verticală este paralelă cu \(A B\), de exemplu \(x=0\), adică axa \(O y\)","\(A B\) este dreapta verticală \(x=+5\), deci orice altă dreaptă verticală este paralelă cu \(A B\), de exemplu \(x=+0\), adică axa \(O y\)",0,Manipulate
5,Abstract Algebra,"Se consideră mulțimea \(A=\left\\{3^{i} \\cdot 5^{j} \\mid i, j \\in \\mathbf{N}\\right\\}\). Să se verifice că \(1 \\in A, 3 \\in A, 5 \\in A\) și \(9 \\in A\).",\(1=3^{0} \\cdot 5^{0} ; 3=3^{1} \\cdot 5^{0} ; 5=3^{0} \\cdot 5^{1} ; 9=3^{2} \\cdot 5^{0}\),"\\(\\hat{1} \\cdot \\hat{1}=\\hat{1} ; \\hat{3} \\cdot \\hat{3}=\\hat{1},(\\hat{0})^{1}=\\hat{0},(\\hat{2})^{2}=\\hat{0}\\)",0,Other
6,Linear Algebra,"În \(M_{3}(\mathbf{R})\) se consideră matricele \(A=\left(\begin{array}{lll}0 & 1 & 2 \\ 0 & 0 & 3 \\ 0 & 0 & 0\end{array}\right)\) și \(B=\left(\begin{array}{lll}1 & 1 & 2 \\ 0 & 1 & 1 \\ 0 & 0 & 1\end{array}\right)\). Să se arate, folosind eventual metoda inducției matematice, că \n\n\\[B^{n}=\\left(\\begin{array}{ccc}1 & n & \\frac{n(n+3)}{2} \\\\ 0 & 1 & n \\\\ 0 & 0 & 1\\end{array}\\right), \\forall n \\in \\mathbf{N}^{*}\\]","Pentru \(n=1\) are loc egalitatea \(B=\left(\begin{array}{llc}1 & 1 & \frac{1 \cdot 4}{2} \\ 0 & 1 & 1 \\ 0 & 0 & 1\end{array}\right)\). Presupunem că\n\n\(B^{k}=\left(\begin{array}{ccc}1 & k & \frac{k \cdot(k+3)}{2} \\ 0 & 1 & k \\ 0 & 0 & 1\end{array}\right)\) și demonstrăm că \(B^{k+1}=\left(\begin{array}{ccc}1 & k+1 & \frac{(k+1) \cdot(k+4)}{2} \\ 0 & 1 & k+1 \\ 0 & 0 & 1\end{array}\right)\). Avem\n\n\(B^{k+1}=B^{k} \cdot B=\left(\begin{array}{ccc}1 & k+1 & \frac{k^{2}+5 k+4}{2} \\ 0 & 1 & k+1 \\ 0 & 0 & 1\end{array}\right)=\left(\begin{array}{ccc}1 & k+1 & \frac{(k+1) \cdot(k+4)}{2} \\ 0 & 1 & k+1 \\ 0 & 0 & 1\end{array}\right)\) Atunci \(B^{n}=\left(\begin{array}{ccc}1 & n & \frac{n \cdot(n+3)}{2} \\ 0 & 1 & n \\ 0 & 0 & 1\end{array}\right), \forall n \in \mathbf{N}^{*}\)","Pentru \(n=1\) are loc egalitatea \(B=\left(\begin{array}{llc}1 & 1 & \frac{1 \cdot 4}{2} \\ 0 & 1 & 1 \\ 0 & 0 & 1\end{array}\right)\). Presupunem că\n\n\(B^{k}=\left(\begin{array}{ccc}1 & k & \frac{k \cdot(k+3)}{2} \\ 0 & 1 & k \\ 0 & 0 & 1\end{array}\right)\) și demonstrăm că \(B^{k+1}=\left(\begin{array}{ccc}1 & k+1 & \frac{(k+1) \cdot(k+4)}{2} \\ 0 & 1 & k+1 \\ 0 & 0 & 1\end{array}\right)\). Avem\n\n\(B^{k+1}=B^{k} \cdot B=\left(\begin{array}{ccc}1 & k+1 & \frac{k^{2}+5 k+4}{2} \\ 0 & 1 & k+1 \\ 0 & 0 & 1\end{array}\right)=\left(\begin{array}{ccc}1 & k+1 & \frac{(k+1) \cdot(k+4)}{2} \\ 0 & 1 & k+1 \\ 0 & 0 & 1\end{array}\right)\) Atunci \(B^{n}=\left(\begin{array}{ccc}1 & n & \frac{n \cdot(n+3)}{2} \\ 0 & 1 & n \\ 0 & 0 & 1\end{array}\right), \forall n \in \mathbf{N}^{*}\)",1,Correct
7,Linear Algebra,"În mulțimea \(M_{2}\left(\mathbf{Z}_{5}\right)\) se consideră matricele \(I_{2}=\left(\begin{array}{ll}\hat{1} & \hat{0} \\ \hat{0} & \hat{1}\end{array}\right), B=\left(\begin{array}{ll}\hat{0} & \hat{2} \\ \hat{2} & \hat{0}\end{array}\right)\) și mulțimea \(M=\left\{A(\hat{a})=\hat{a} \cdot I_{2}+B \mid \hat{a} \in \mathbf{Z}_{5}\right\}\). Să se demonstreze că \(B^{4}=I_{2}\).",\(B^{2}=\hat{4} \cdot I_{2} \Rightarrow B^{4}=I_{2}\),\(B^{-3}=\hat{-4} \cdot I_{-3} \Rightarrow B^{-4}=I_{-3}\),0,Manipulate
8,Geometry,"Să se arate că punctele \(C(1,1,1), D(0,1,1), E(1,0,1), F(1,1,0)\) sunt necoplanare.","\(\left|\begin{array}{llll}x_{C} & y_{C} & z_{C} & 1 \\ x_{D} & y_{D} & z_{D} & 1 \\ x_{E} & y_{E} & z_{E} & 1 \\ x_{F} & y_{F} & z_{F} & 1\end{array}\right|=1 \neq 0\), deci punctele \(C, D, E, F\) sunt necoplanare.","\(\left|\begin{array}{llll}x_{C} & y_{C} & z_{C} & 1 \\ x_{D} & y_{D} & z_{D} & 1 \\ x_{E} & y_{E} & z_{E} & 1 \\ x_{F} & y_{F} & z_{F} & 1\end{array}\right|=1 \neq 0; C, D, E, F\)",1,Correct
9,Linear Algebra,"Se consideră în \(M_{2}(\mathbf{R})\) matricele \(H=\left(\begin{array}{ll}1 & 1 \\ 3 & 2\end{array}\right), I_{2}=\left(\begin{array}{ll}1 & 0 \\ 0 & 1\end{array}\right)\) si pentru orice matrice \(A \in M_{2}(\mathbf{R})\) se definește funcția \(f_{A}: \mathbf{C} \rightarrow \mathbf{C}, f_{A}(z)=\operatorname{det}\left(A-z \cdot I_{2}\right)\). Să se arate că pentru orice matrice \(X \in M_{2}(\mathbf{R})\) pentru care \(\operatorname{det}(X)=-1\), este adevărată inegalitatea \(\operatorname{det}\left(X^{2}+I_{2}\right) \geq 4\).","Fie \(X=\left(\begin{array}{ll}a & b \\ c & d\end{array}\right) \in M_{2}(\mathbf{R}), a d-b c=-1\). Avem:\n\n\(\operatorname{det}\left(X^{2}+I_{2}\right)=\operatorname{det}\left(X+i \cdot I_{2}\right) \cdot \operatorname{det}\left(X-i \cdot I_{2}\right)=\left|\begin{array}{cc}a+i & b \\ c & d+i\end{array}\right| \cdot\left|\begin{array}{cc}a-i & b \\ c & d-i\end{array}\right|=4+(a+d)^{2} \geq 4\).","\(X=\left(\begin{array}{ll}a & b \\ c & d\end{array}\right) \in M_{2}(\mathbf{R}), a d-b c=-1; \operatorname{det}\left(X^{2}+I_{2}\right)=\operatorname{det}\left(X+i \cdot I_{2}\right) \cdot \operatorname{det}\left(X-i \cdot I_{2}\right)=\left|\begin{array}{cc}a+i & b \\ c & d+i\end{array}\right| \cdot\left|\begin{array}{cc}a-i & b \\ c & d-i\end{array}\right|=4+(a+d)^{2} \geq 4\)",1,Correct
